region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"Abilene, TX","Abilene Christian University",1326,1122,25712,42682,0.602,0.661,0.004,0.014,0.092,0.141,0.007,0.045,0.372,0.628,1068,1042,1098,1140,"Texas, Abilene","Private, Non-profit","Selective private","",0.365,3503,22,0.263,0.052,0.628,0.295,1767,36300,36300,49538,26809,24153,0.913,24000,0.474,0.014,0.274,32600,49294,44511
"Abilene, TX","Cisco College",722,624,"Data Unavailable","Data Unavailable",Data Unavailable,0.537,0.010,0.019,0.091,0.295,0.000,0.032,0.400,0.600,800,627,792,795,"Texas, Cisco","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.598,3442,121,0.306,0.182,0.600,0.447,"Data Unavailable",3810,4800,14931,8650,8263,0.373,"Data Unavailable",0.112,0.029,0.158,27980,35849,32856
"Abilene, TX","Hardin-Simmons University",539,516,26500,36141,0.733,0.657,0.002,0.013,0.060,0.136,0.056,0.045,0.463,0.537,448,511,467,495,"Texas, Abilene","Private, Non-profit","Selective private","",0.327,1687,55,0.387,0.060,0.537,0.255,582,30140,30140,40160,19509,16627,0.891,24644,0.383,0.014,0.233,36413,46447,46176
"Abilene, TX","Howard Payne University",231,211,27000,32925,0.820,0.652,0.004,0.009,0.039,0.203,0.084,0.004,0.489,0.511,218,237,192,228,"Texas, Brownwood","Private, Non-profit","Selective private","",0.451,817,152,0.320,0.105,0.511,0.264,66,29198,29198,39973,22178,16048,0.934,25000,0.226,0.021,0.203,34831,43756,40848
"Abilene, TX","McMurry University",154,230,27000,35060,0.770,0.524,0.000,0.020,0.137,0.218,0.036,0.013,0.443,0.557,153,172,201,200,"Texas, Abilene","Private, Non-profit","Selective private","Hispanic-serving Institution",0.357,1128,38,0.484,0.136,0.557,0.388,9,28099,28099,40851,21450,17194,0.912,27000,0.281,0.028,0.207,36438,45756,44289
"Abilene, TX","Neecee's Barber College",35,8,16500,20140,0.819,0.257,0.000,0.000,0.314,0.343,0.029,0.057,0.657,0.343,32,21,10,26,"Texas, Abilene","Private, For-profit","Data Unavailable","",0.000,47,"Data Unavailable",0.697,0.225,0.343,0.714,"Data Unavailable","Data Unavailable","Data Unavailable",16519,12529,12210,"Data Unavailable",11500,0.074,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Abilene, TX","Ranger College",394,223,8500,33206,0.256,0.637,0.000,0.013,0.053,0.244,0.000,0.008,0.426,0.574,396,321,271,201,"Texas, Ranger","Public","Two-year (public and private not-for-profit)","",0.523,2041,147,0.232,0.225,0.574,0.320,"Data Unavailable",3065,6215,11511,4818,4076,0.537,9166,0.228,0.029,0.129,26684,37916,33189
"Abilene, TX","Texas College of Cosmetology-Abilene",55,43,"Data Unavailable",15337,Data Unavailable,0.618,0.000,0.018,0.036,0.309,0.000,0.000,0.036,0.964,42,44,61,53,"Texas, Abilene","Private, For-profit","Data Unavailable","",0.000,73,"Data Unavailable",0.697,0.225,0.964,0.382,"Data Unavailable","Data Unavailable","Data Unavailable",15721,10951,10660,"Data Unavailable","Data Unavailable",0.690,0.022,0.096,16130,18972,30747
"Abilene, TX","Western Texas College",364,317,"Data Unavailable",52107,Data Unavailable,0.462,0.000,0.005,0.088,0.357,0.000,0.027,0.657,0.343,366,366,308,314,"Texas, Snyder","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.396,717,1292,0.065,0.176,0.343,0.481,"Data Unavailable",2790,5160,11862,5561,4391,0.381,6500,0.339,0.029,0.167,34316,39877,34188
"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes","Louisiana Academy of Beauty",18,22,"Data Unavailable",8000,Data Unavailable,0.722,0.056,0.000,0.167,0.000,0.000,0.056,0.000,1.000,21,27,25,19,"Louisiana, Eunice","Private, For-profit","Data Unavailable","",0.000,32,"Data Unavailable",0.346,0.225,1.000,0.278,"Data Unavailable","Data Unavailable","Data Unavailable",17580,12501,12501,"Data Unavailable","Data Unavailable",0.222,0.022,0.096,"Data Unavailable",17724,30747
"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes","Opelousas School of Cosmetology",15,12,6500,"Data Unavailable",Data Unavailable,0.467,0.000,0.000,0.533,0.000,0.000,0.000,0.133,0.867,20,16,18,12,"Louisiana, Opelousas","Private, For-profit","Data Unavailable","",0.000,12,"Data Unavailable",0.711,0.225,0.867,0.533,"Data Unavailable","Data Unavailable","Data Unavailable",14935,10712,10193,0.617,"Data Unavailable",0.210,0.022,0.096,"Data Unavailable",24531,30747
"Adams, Pike, Brown, Schuyler & Mason Counties","Blessing Hospital School of Radiologic Technology (Branch Campus)",10,11,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,8,9,15,15,"Illinois, Quincy","Private, Non-profit","Data Unavailable","",0.000,16,"Data Unavailable",0.556,0.225,1.000,0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.887,14000,"Data Unavailable",0.022,0.096,52742,56001,30747
"Adams, Pike, Brown, Schuyler & Mason Counties","Blessing Rieman College of Nursing and Health Sciences",98,58,15000,58522,0.256,0.929,0.000,0.000,0.041,0.020,0.000,0.010,0.102,0.898,78,77,61,69,"Illinois, Quincy","Private, Non-profit","Data Unavailable","",0.511,165,"Data Unavailable",0.339,0.225,0.898,0.071,17,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.887,14000,"Data Unavailable",0.022,0.096,52742,56001,30747
"Adams, Pike, Brown, Schuyler & Mason Counties","Gem City College",19,14,"Data Unavailable",11481,Data Unavailable,0.895,0.000,0.000,0.105,0.000,0.000,0.000,0.579,0.421,15,24,17,24,"Illinois, Quincy","Private, For-profit","Data Unavailable","",0.000,26,"Data Unavailable",0.525,0.225,0.421,0.105,"Data Unavailable","Data Unavailable","Data Unavailable",16380,12005,12005,"Data Unavailable",9651,0.583,0.022,0.096,15278,22660,30747
"Adams, Pike, Brown, Schuyler & Mason Counties","John Wood Community College",465,470,9387,21052,0.446,0.927,0.002,0.000,0.039,0.013,0.009,0.011,0.419,0.581,466,503,493,519,"Illinois, Quincy","Public","Two-year (public and private not-for-profit)","",0.587,1572,362,0.461,0.160,0.581,0.065,"Data Unavailable",4890,8190,12236,7095,5099,0.497,8500,0.234,0.007,0.047,28247,34046,31302
"Adams, Pike, Brown, Schuyler & Mason Counties","Quincy University",250,373,20004,39909,0.501,0.768,0.004,0.004,0.092,0.040,0.080,0.000,0.355,0.645,265,296,287,358,"Illinois, Quincy","Private, Non-profit","Selective private","",0.404,957,85,0.361,0.050,0.645,0.144,106,30450,30450,40447,17497,15292,0.957,21930,0.396,0.010,0.200,40527,46325,43956
"Aguadilla-Isabela, PR","Automeca Technical College-Aguadilla (Branch Campus)",157,127,3000,16169,0.186,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.981,0.019,160,171,168,127,"Puerto Rico, Aguadilla","Private, For-profit","Data Unavailable","",0.000,258,"Data Unavailable",0.951,"Data Unavailable",0.019,1.000,"Data Unavailable",7601,7601,11293,3099,2661,0.409,3000,0.766,"Data Unavailable","Data Unavailable",22810,22020,"Data Unavailable"
"Aguadilla-Isabela, PR","Charlie's Guard-Detective Bureau and Academy Inc",27,51,"Data Unavailable",16786,Data Unavailable,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.481,0.519,36,39,32,48,"Puerto Rico, Aguadilla","Private, For-profit","Data Unavailable","",0.000,77,"Data Unavailable",0.905,"Data Unavailable",0.519,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",10089,3994,3994,"Data Unavailable","Data Unavailable",0.273,"Data Unavailable","Data Unavailable",15829,15112,"Data Unavailable"
"Aguadilla-Isabela, PR","Colegio Tecnico de Electricidad Galloza",17,45,"Data Unavailable",32925,Data Unavailable,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,15,22,27,32,"Puerto Rico, Aguada","Private, For-profit","Data Unavailable","",0.000,31,"Data Unavailable",0.826,"Data Unavailable",0.000,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",11500,7103,7103,"Data Unavailable","Data Unavailable",0.727,"Data Unavailable","Data Unavailable","Data Unavailable",23336,"Data Unavailable"
"Aguadilla-Isabela, PR","EDP University of Puerto Rico Inc-San Sebastian (Branch Campus)",278,302,14495,23563,0.615,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.378,0.622,345,267,278,240,"Puerto Rico, San Sebastian","Private, Non-profit","Data Unavailable","Hispanic-serving Institution",0.376,1066,3,0.772,0.225,0.622,1.000,36,6200,6200,13737,7113,6939,0.469,11400,0.267,0.022,0.096,23790,19513,30747
"Aguadilla-Isabela, PR","Escuela de Peritos Electricistas de Isabela Inc",39,42,"Data Unavailable",18315,Data Unavailable,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,44,54,44,46,"Puerto Rico, Isabela","Private, For-profit","Data Unavailable","",0.000,77,"Data Unavailable",0.743,"Data Unavailable",0.000,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",10362,6626,6626,"Data Unavailable","Data Unavailable",0.735,"Data Unavailable","Data Unavailable",22359,22867,"Data Unavailable"
"Aguadilla-Isabela, PR","Inter American University of Puerto Rico-Aguadilla",680,747,6875,9167,0.750,0.003,0.000,0.000,0.000,0.996,0.000,0.000,0.375,0.625,721,733,751,715,"Puerto Rico, Aguadilla","Private, Non-profit","Data Unavailable","Hispanic-serving Institution",0.771,3741,65,0.875,"Data Unavailable",0.625,0.997,197,5974,5974,13297,7115,6948,0.172,6850,0.112,"Data Unavailable","Data Unavailable",21609,21009,"Data Unavailable"
"Aguadilla-Isabela, PR","Rosslyn Training Academy of Cosmetology",8,19,"Data Unavailable","Data Unavailable",Data Unavailable,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.625,0.375,17,15,17,18,"Puerto Rico, Aguada","Private, For-profit","Data Unavailable","",0.000,16,"Data Unavailable",1.000,"Data Unavailable",0.375,1.000,"Data Unavailable",6397,6397,7512,4250,4250,"Data Unavailable","Data Unavailable",0.727,"Data Unavailable","Data Unavailable",12062,"Data Unavailable","Data Unavailable"
"Aguadilla-Isabela, PR","Universal Technology College of Puerto Rico",236,509,"Data Unavailable",26896,Data Unavailable,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.347,0.653,330,421,517,507,"Puerto Rico, Aguadilla","Private, Non-profit","Data Unavailable","Hispanic-serving Institution",0.000,235,"Data Unavailable",0.926,"Data Unavailable",0.653,1.000,"Data Unavailable","Data Unavailable","Data Unavailable",11008,5535,4741,"Data Unavailable","Data Unavailable",0.500,"Data Unavailable","Data Unavailable",16643,18530,"Data Unavailable"
"Aguadilla-Isabela, PR","University of Puerto Rico-Aguadilla",463,345,5500,18771,0.293,0.054,0.002,0.000,0.006,0.911,0.017,0.009,0.508,0.492,419,382,335,316,"Puerto Rico, Aguadilla","Public","Data Unavailable","Hispanic-serving Institution",0.293,2703,59,0.822,"Data Unavailable",0.492,0.929,"Data Unavailable",4768,6752,12098,6218,5606,0.108,5500,0.059,"Data Unavailable","Data Unavailable",22655,24209,"Data Unavailable"
"Akron, OH","Fortis College-Cuyahoga Falls",233,0,17667,31462,0.562,0.481,0.004,0.099,0.296,0.021,0.073,0.026,0.279,0.721,224,238,212,219,"Ohio, Cuyahoga Falls","Private, For-profit","Two-year for-profit","",0.526,586,"Data Unavailable",0.788,"Data Unavailable",0.721,0.446,"Data Unavailable",14045,14045,31432,26955,26743,0.914,13000,0.407,"Data Unavailable","Data Unavailable",27063,29946,"Data Unavailable"
"Akron, OH","Gerbers Akron Beauty School",68,60,"Data Unavailable",13239,Data Unavailable,0.265,0.000,0.412,0.279,0.044,0.000,0.000,0.118,0.882,80,54,45,46,"Ohio, Akron","Private, For-profit","Data Unavailable","",0.000,70,"Data Unavailable",0.559,0.225,0.882,0.735,"Data Unavailable","Data Unavailable","Data Unavailable",12855,9216,9068,0.326,"Data Unavailable",0.870,0.022,0.096,16866,19462,30747
"Akron, OH","Herzing University-Akron (Branch Campus)",150,103,20575,38289,0.537,0.507,0.000,0.000,0.200,0.020,0.253,0.020,0.160,0.840,141,118,98,90,"Ohio, Akron","Private, Non-profit","Four-year for-profit","",0.799,497,"Data Unavailable",0.863,0.139,0.840,0.240,"Data Unavailable",14200,14200,29248,22416,22440,0.906,22052,"Data Unavailable",0.013,0.095,30303,33093,37185
"Akron, OH","Hiram College",220,282,27000,35701,0.756,0.773,0.000,0.018,0.139,0.043,0.009,0.014,0.423,0.577,260,254,295,275,"Ohio, Hiram","Private, Non-profit","Selective private","",0.179,896,371,0.380,0.064,0.577,0.214,17,37710,37710,49017,21294,21421,0.937,25827,0.450,0.014,0.211,45695,48092,48063
"Akron, OH","Kent State University at Kent",7331,6599,25000,37663,0.664,0.753,0.002,0.015,0.066,0.030,0.035,0.028,0.362,0.638,7672,7891,7243,6760,"Ohio, Kent","Public","Selective public","",0.545,21431,831,0.300,0.069,0.638,0.142,5454,10602,19478,25686,18885,13915,0.886,25000,0.507,0.011,0.158,30517,42837,40848
"Akron, OH","Northcoast Medical Training Academy",96,123,15800,32010,0.494,0.563,0.000,0.010,0.344,0.021,0.031,0.031,0.115,0.885,80,94,115,88,"Ohio, Kent","Private, For-profit","Data Unavailable","",0.000,43,"Data Unavailable",0.669,0.225,0.885,0.406,"Data Unavailable","Data Unavailable","Data Unavailable",28248,22792,22411,0.902,9500,0.460,0.022,0.096,30159,23772,30747
"Akron, OH","Northeast Ohio Medical University",94,70,"Data Unavailable","Data Unavailable",Data Unavailable,0.745,0.011,0.074,0.117,0.000,0.043,0.011,0.436,0.564,91,92,88,82,"Ohio, Rootstown","Public","Data Unavailable","",0.021,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.564,0.213,959,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Akron, OH","Paul Mitchell the School-Cleveland",75,88,11497,17294,0.665,0.507,0.000,0.013,0.427,0.027,0.000,0.027,0.000,1.000,104,73,74,109,"Ohio, Twinsburg","Private, For-profit","Data Unavailable","",0.000,168,"Data Unavailable",0.575,0.225,1.000,0.493,"Data Unavailable","Data Unavailable","Data Unavailable",17416,12635,12717,0.949,9833,0.080,0.022,0.096,22566,"Data Unavailable",30747
"Akron, OH","Portage Lakes Career Center",74,36,"Data Unavailable",29685,Data Unavailable,0.635,0.014,0.054,0.203,0.000,0.000,0.095,0.270,0.730,63,65,90,78,"Ohio, Uniontown","Public","Data Unavailable","",0.000,77,"Data Unavailable",0.496,0.225,0.730,0.365,"Data Unavailable","Data Unavailable","Data Unavailable",20326,17084,15152,"Data Unavailable",8444,0.743,0.022,0.096,31251,35824,30747
"Akron, OH","University of Akron Main Campus",4611,5430,24825,42123,0.589,0.737,0.001,0.031,0.085,0.022,0.016,0.032,0.506,0.494,4799,5293,5384,5442,"Ohio, Akron","Public","Selective public","",0.371,12744,2050,0.321,0.084,0.494,0.172,2806,11636,17765,24520,17792,14816,0.871,24411,0.248,0.012,0.143,30677,43796,39627
"Albany, GA","Albany State University",1134,621,20378,30771,0.662,0.281,0.004,0.010,0.635,0.024,0.021,0.016,0.240,0.760,1312,1663,730,751,"Georgia, Albany","Public","Selective public","Historically Black Colleges and Universities",0.523,5415,363,0.617,0.233,0.760,0.689,344,5934,16656,18820,12992,11860,0.920,26487,0.122,0.026,0.111,33720,35851,35409
"Albany, GA","Albany Technical College",1962,2330,16165,23110,0.699,0.208,0.003,0.002,0.755,0.019,0.000,0.010,0.424,0.576,2221,2164,2433,3114,"Georgia, Albany","Public","Two-year (public and private not-for-profit)","Predominantly Black Institution",0.753,2537,748,0.612,0.445,0.576,0.792,"Data Unavailable",2996,5396,8260,420,-392,0.682,11500,0.227,0.014,0.032,22746,26229,17538
"Albany, GA","Southern Regional Technical College",1986,0,"Data Unavailable",27048,Data Unavailable,0.562,0.002,0.008,0.315,0.100,0.009,0.003,0.414,0.586,1697,1829,1945,2014,"Georgia, Thomasville","Public","Two-year (public and private not-for-profit)","",0.520,2966,2007,0.476,0.341,0.586,0.427,"Data Unavailable",3002,5402,9066,-884,-1367,"Data Unavailable","Data Unavailable",0.204,0.013,0.039,24688,26330,25530
"Albany, GA","Thomas University",456,273,28999,49019,0.592,0.379,0.002,0.009,0.265,0.024,0.300,0.002,0.265,0.735,385,333,358,276,"Georgia, Thomasville","Private, Non-profit","Data Unavailable","Asian American Native American Pacific Islander-Serving Institution",1.000,875,72,0.456,0.225,0.735,0.303,581,16940,16940,27806,23105,24231,0.913,22250,0.115,0.022,0.096,42463,41034,30747
"Albany, OR","Linn-Benton Community College",861,1038,10908,29685,0.367,0.741,0.010,0.015,0.006,0.116,0.048,0.043,0.432,0.568,914,812,883,938,"Oregon, Albany","Public","Two-year (public and private not-for-profit)","",0.208,5490,43,0.272,0.111,0.568,0.192,"Data Unavailable",5105,11928,13868,9102,7320,0.611,11938,0.127,0.013,0.115,30204,38344,31524
"Albany, OR","Oregon State University",7838,6240,22168,42235,0.525,0.638,0.004,0.067,0.008,0.086,0.025,0.062,0.512,0.488,7583,7186,6747,6367,"Oregon, Corvallis","Public","Selective public","",0.472,25339,908,0.256,0.050,0.488,0.230,5472,11715,31215,26631,20016,14157,0.860,21793,0.348,0.016,0.327,45427,56619,55500
"Albany, OR","Phagans Beauty College",27,31,12000,19227,0.624,0.741,0.037,0.000,0.000,0.111,0.000,0.111,0.074,0.926,37,32,35,34,"Oregon, Corvallis","Private, For-profit","Data Unavailable","",0.000,56,"Data Unavailable",0.802,"Data Unavailable",0.926,0.259,"Data Unavailable","Data Unavailable","Data Unavailable",13893,8843,8127,"Data Unavailable",9453,0.156,"Data Unavailable","Data Unavailable",21231,24860,"Data Unavailable"
"Albany-Schenectady-Troy, NY","Aesthetic Science Institute",106,82,3666,21166,0.173,0.934,0.000,0.000,0.047,0.000,0.019,0.000,0.047,0.953,94,81,69,82,"New York, Latham","Private, For-profit","Data Unavailable","",0.000,57,"Data Unavailable",0.292,0.225,0.953,0.047,"Data Unavailable","Data Unavailable","Data Unavailable",11747,10182,9093,0.887,"Data Unavailable",0.975,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Albany-Schenectady-Troy, NY","Albany BOCES-Adult Practical Nursing Program",146,124,10275,"Data Unavailable",Data Unavailable,0.267,0.027,0.027,0.507,0.021,0.007,0.110,0.048,0.952,104,115,120,115,"New York, Albany","Public","Data Unavailable","",0.000,162,"Data Unavailable",0.636,0.225,0.952,0.692,"Data Unavailable","Data Unavailable","Data Unavailable",25173,20709,20664,0.945,9500,0.957,0.022,0.096,41152,45366,30747
"Albany-Schenectady-Troy, NY","Albany College of Pharmacy and Health Sciences",70,58,27000,38289,0.705,0.614,0.000,0.129,0.000,0.014,0.200,0.000,0.300,0.700,70,65,71,61,"New York, Albany","Private, Non-profit","Nonselective four-year private not-for-profit","",0.078,788,6,0.270,0.039,0.700,0.143,446,36745,36745,48545,29116,22757,"Data Unavailable",27000,0.381,0.034,0.852,123167,119112,128538
"Albany-Schenectady-Troy, NY","Albany Law School",146,205,98223,62880,1.562,0.781,0.000,0.027,0.055,0.062,0.048,0.021,0.486,0.514,126,111,149,186,"New York, Albany","Private, Non-profit","Data Unavailable","",0.105,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.514,0.164,534,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Albany-Schenectady-Troy, NY","Albany Medical College",82,96,114846,120762,0.951,0.695,0.012,0.110,0.037,0.000,0.073,0.049,0.220,0.780,87,89,88,96,"New York, Albany","Private, Non-profit","Data Unavailable","",0.071,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.780,0.232,828,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Albany-Schenectady-Troy, NY","Belanger School of Nursing",52,52,"Data Unavailable","Data Unavailable",Data Unavailable,0.750,0.000,0.115,0.038,0.077,0.000,0.019,0.173,0.827,44,50,51,51,"New York, Schenectady","Private, Non-profit","Data Unavailable","",0.000,131,"Data Unavailable",0.305,0.225,0.827,0.250,"Data Unavailable",11306,11306,"Data Unavailable","Data Unavailable","Data Unavailable",0.855,15250,"Data Unavailable",0.022,0.096,"Data Unavailable",67700,30747
"Albany-Schenectady-Troy, NY","Bryant & Stratton College-Albany (Branch Campus)",137,192,20000,27085,0.738,0.526,0.000,0.029,0.241,0.102,0.015,0.080,0.314,0.686,144,150,109,162,"New York, Albany","Private, For-profit","Data Unavailable","",0.206,409,9,0.740,0.225,0.686,0.460,"Data Unavailable",17822,17822,21114,8532,8335,0.897,20884,"Data Unavailable",0.022,0.096,25252,30246,30747
"Albany-Schenectady-Troy, NY","Center for Natural Wellness School of Massage Therapy",70,100,9500,21588,0.440,0.843,0.000,0.029,0.071,0.057,0.000,0.000,0.200,0.800,83,107,84,87,"New York, Albany","Private, For-profit","Data Unavailable","",0.000,39,"Data Unavailable",0.310,0.225,0.800,0.157,"Data Unavailable","Data Unavailable","Data Unavailable",32267,29934,29495,0.877,9500,0.406,0.022,0.096,27088,31794,30747
"Albany-Schenectady-Troy, NY","Excelsior College",6059,4743,27333,49498,0.552,0.649,0.005,0.027,0.159,0.103,0.008,0.034,0.536,0.464,5137,5135,4938,4883,"New York, Albany","Private, Non-profit","Nonselective four-year private not-for-profit","Distance Education Only",1.000,22674,"Data Unavailable",0.145,"Data Unavailable",0.464,0.333,2571,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.649,13000,"Data Unavailable","Data Unavailable","Data Unavailable",62430,75846,"Data Unavailable"
"Albany-Schenectady-Troy, NY","Hartwick College",232,356,26975,37856,0.713,0.651,0.013,0.034,0.082,0.052,0.134,0.000,0.418,0.582,274,407,323,334,"New York, Oneonta","Private, Non-profit","Selective private","",0.014,1181,12,0.384,0.057,0.582,0.181,"Data Unavailable",46926,46926,59031,23101,18338,0.968,27000,0.587,0.017,0.290,"Data Unavailable",50184,50949
"Albany-Schenectady-Troy, NY","Hudson Valley Community College",1818,2094,16005,30499,0.525,0.774,0.004,0.052,0.081,0.051,0.005,0.024,0.519,0.481,1886,1846,1929,2032,"New York, Troy","Public","Two-year (public and private not-for-profit)","",0.323,7275,3141,0.273,0.109,0.481,0.214,"Data Unavailable",5962,11062,13718,8548,5671,0.578,10909,0.201,0.017,0.156,35975,42416,39183
"Albany-Schenectady-Troy, NY","Maria College of Albany",288,213,20000,60987,0.328,0.632,0.000,0.038,0.090,0.052,0.170,0.014,0.128,0.872,223,221,245,244,"New York, Albany","Private, Non-profit","Data Unavailable","",0.313,768,28,0.458,0.225,0.872,0.198,"Data Unavailable",15600,15600,18744,12995,13477,0.883,20000,"Data Unavailable",0.022,0.096,46153,46738,30747
"Albany-Schenectady-Troy, NY","Mildred Elley School-Albany Campus",174,187,19000,31042,0.612,0.328,0.006,0.040,0.299,0.075,0.253,0.000,0.126,0.874,190,241,247,209,"New York, Albany","Private, For-profit","Two-year for-profit","",0.492,360,"Data Unavailable",0.777,0.313,0.874,0.420,"Data Unavailable",13509,13509,25935,19121,18748,0.963,18583,0.162,0.000,0.000,28168,27928,14097
"Albany-Schenectady-Troy, NY","Modern Welding School",106,103,5500,34633,0.159,0.906,0.009,0.009,0.038,0.009,0.019,0.009,0.962,0.038,96,94,103,105,"New York, Schenectady","Private, For-profit","Data Unavailable","",0.000,93,"Data Unavailable",0.453,0.225,0.038,0.075,"Data Unavailable","Data Unavailable","Data Unavailable",23942,21829,20468,0.842,5500,0.885,0.022,0.096,32022,"Data Unavailable",30747
"Albany-Schenectady-Troy, NY","Orlo School of Hair Design and Cosmetology",34,71,"Data Unavailable","Data Unavailable",Data Unavailable,0.765,0.000,0.029,0.118,0.059,0.029,0.000,0.029,0.971,36,33,53,51,"New York, Albany","Private, For-profit","Data Unavailable","",0.000,61,"Data Unavailable",0.663,0.225,0.971,0.206,"Data Unavailable","Data Unavailable","Data Unavailable",17618,13124,12550,0.809,5500,0.500,0.022,0.096,24910,21157,30747
"Albany-Schenectady-Troy, NY","Otsego Area BOCES-Practical Nursing Program",21,27,9500,32124,0.296,0.857,0.048,0.000,0.048,0.048,0.000,0.000,0.095,0.905,25,34,39,29,"New York, Oneonta","Public","Data Unavailable","",0.000,42,"Data Unavailable",0.645,0.225,0.905,0.143,"Data Unavailable","Data Unavailable","Data Unavailable",20031,14210,12785,"Data Unavailable","Data Unavailable",1.000,0.022,0.096,37765,"Data Unavailable",30747
"Albany-Schenectady-Troy, NY","Paul Mitchell the School-Schenectady",113,90,6492,19683,0.330,0.779,0.000,0.000,0.106,0.044,0.062,0.009,0.248,0.752,123,82,88,72,"New York, Schenectady","Private, For-profit","Data Unavailable","",0.000,108,"Data Unavailable",0.544,"Data Unavailable",0.752,0.159,"Data Unavailable","Data Unavailable","Data Unavailable",24115,21097,21097,0.877,6492,0.085,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Albany-Schenectady-Troy, NY","Rensselaer Polytechnic Institute",1875,1652,24156,67828,0.356,0.520,0.001,0.095,0.033,0.067,0.015,0.065,0.669,0.331,1996,2002,1817,1715,"New York, Troy","Private, Non-profit","Other elite schools (public and private)","",0.000,6203,38,0.179,0.047,0.331,0.261,1287,55378,55378,71998,35464,22662,0.968,24194,0.664,0.030,0.646,75699,93416,93351
"Albany-Schenectady-Troy, NY","Russell Sage College",769,802,29978,52107,0.575,0.672,0.004,0.040,0.091,0.075,0.091,0.020,0.153,0.847,839,846,839,748,"New York, Troy","Private, Non-profit","Selective private","",0.212,1311,21,0.435,0.116,0.847,0.230,1116,31883,31883,45078,23337,17886,0.956,22188,0.600,0.020,0.175,44463,51979,39183
"Albany-Schenectady-Troy, NY","SUNY College of Agriculture and Technology at Cobleskill",642,578,20500,29429,0.697,0.706,0.000,0.000,0.012,0.084,0.090,0.095,0.453,0.547,688,676,671,626,"New York, Cobleskill","Public","Selective public","",0.225,2198,69,0.506,0.108,0.547,0.192,"Data Unavailable",8884,18794,24891,16647,12984,0.884,15750,0.388,0.014,0.127,39136,40300,37962
"Albany-Schenectady-Troy, NY","SUNY Empire State College",3142,3306,24614,48394,0.509,0.597,0.005,0.026,0.137,0.111,0.096,0.021,0.350,0.650,3419,3507,3639,3689,"New York, Saratoga Springs","Public","Nonselective four-year public","",0.661,8098,997,0.326,0.140,0.650,0.303,1345,7605,17515,20017,12142,9934,0.629,19146,0.140,0.036,0.257,43559,45639,43290
