region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"New York-Newark-Jersey City, NY-NJ-PA","The General Theological Seminary",18,36,"Data Unavailable","Data Unavailable",Data Unavailable,0.667,0.000,0.000,0.056,0.111,0.000,0.000,0.389,0.611,13,32,15,33,"New York, New York","Private, Non-profit","Data Unavailable","",0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.611,0.167,49,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","The Juilliard School",267,288,40398,17950,2.251,0.352,0.000,0.131,0.045,0.056,0.030,0.049,0.517,0.483,299,272,275,284,"New York, New York","Private, Non-profit","Data Unavailable","",0.000,486,102,0.166,0.225,0.483,0.281,372,47370,47370,67498,33535,24105,0.887,25585,0.926,0.022,0.096,"Data Unavailable",37960,30747
"New York-Newark-Jersey City, NY-NJ-PA","The King's College",113,100,22750,42682,0.533,0.593,0.000,0.035,0.044,0.027,0.274,0.009,0.372,0.628,99,87,112,110,"New York, New York","Private, Non-profit","Data Unavailable","",0.171,520,24,0.255,0.225,0.628,0.115,"Data Unavailable",37690,37690,57338,34099,32807,0.905,20349,0.408,0.022,0.096,"Data Unavailable",57872,30747
"New York-Newark-Jersey City, NY-NJ-PA","The New School",2942,3149,26000,38205,0.681,0.325,0.001,0.078,0.061,0.100,0.030,0.028,0.287,0.713,2952,3121,3111,3071,"New York, New York","Private, Non-profit","Nonselective four-year private not-for-profit","",0.115,7284,125,0.173,0.106,0.713,0.270,3023,50994,50994,69260,43334,37723,0.905,23250,0.571,0.029,0.273,48493,53981,36408
"New York-Newark-Jersey City, NY-NJ-PA","Torah Temimah Talmudical Seminary",17,10,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,15,18,15,5,"New York, Staten Island","Private, Non-profit","Data Unavailable","Men-Only College",0.000,25,"Data Unavailable",0.500,0.225,0.000,0.000,"Data Unavailable",11050,11050,18550,7300,7300,"Data Unavailable","Data Unavailable",0.151,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Total Image Beauty Academy",155,63,7000,11851,0.591,0.013,0.000,0.006,0.013,0.968,0.000,0.000,0.058,0.942,99,54,36,56,"New Jersey, Union City","Private, For-profit","Data Unavailable","",0.000,36,"Data Unavailable",0.741,"Data Unavailable",0.942,0.987,"Data Unavailable","Data Unavailable","Data Unavailable",18194,13775,13775,0.870,8500,0.606,"Data Unavailable","Data Unavailable",18479,"Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Touro College",3478,4688,23199,37808,0.614,0.583,0.001,0.058,0.124,0.121,0.050,0.011,0.264,0.736,3869,4133,4078,3976,"New York, New York","Private, Non-profit","Selective private","",0.171,4967,722,0.436,"Data Unavailable",0.736,0.317,5942,20550,20550,31230,19272,17077,0.430,15000,0.479,"Data Unavailable","Data Unavailable",41596,41036,"Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Transitions Career Institute School of Nursing",38,0,"Data Unavailable","Data Unavailable",Data Unavailable,0.026,0.000,0.289,0.605,0.053,0.000,0.000,0.079,0.921,55,0,0,0,"New York, Flushing","Private, For-profit","Data Unavailable","",0.000,113,"Data Unavailable",0.597,"Data Unavailable",0.921,0.974,"Data Unavailable","Data Unavailable","Data Unavailable",26355,22326,22249,"Data Unavailable",9500,0.700,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Unification Theological Seminary",10,17,"Data Unavailable","Data Unavailable",Data Unavailable,0.200,0.000,0.200,0.300,0.100,0.000,0.000,0.600,0.400,15,8,17,18,"New York, New York","Private, Non-profit","Data Unavailable","",0.352,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.400,0.600,108,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Union County College",1697,1306,11343,27439,0.413,0.202,0.003,0.044,0.247,0.356,0.110,0.014,0.349,0.651,1675,1702,1590,1503,"New Jersey, Cranford","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.246,8745,436,0.428,0.158,0.651,0.666,"Data Unavailable",5281,10562,12448,8245,8409,0.276,14250,0.142,0.026,0.161,33544,38163,37296
